식당(ID),식당위도,식당경도
1086,35.1131,128.9316
1091,35.1002,129.0344
1092,35.1725,128.9825
1240,35.1602,129.0649
1266,35.0994,129.0226
1268,35.0909,129.0628
1350,35.1274,129.0403
1351,35.1291,129.0462
1352,35.1356,129.0594
1353,35.1298,129.0486
1354,35.1197,129.0412
1355,35.1225,129.0413
1356,35.0884,129.041
1357,35.0933,129.0395
1358,35.0934,129.0392
1359,35.0828,129.0414
1363,35.0866,129.0049
1476,35.0994,129.0232
1477,35.1147,129.0387
1478,35.0926,129.0427
1480,35.2055,128.9967
1616,35.1148,129.0387
1617,35.0932,129.04
1618,35.0862,129.0358
1619,35.0934,129.0395
1625,35.1556,129.0585
1627,35.2234,129.1524
1762,35.1041,129.0349
1765,35.1309,129.0474
1766,35.1316,129.0507
1767,35.1148,129.0387
1769,35.1187,129.0413
1776,35.1549,129.057
1781,35.0801,129.0065
1950,35.1379,129.0602
1951,35.1183,129.0408
1952,35.1136,129.0377
1953,35.1192,129.0407
1956,35.1588,129.0555
1957,35.1415,129.0619
1960,35.1137,129.0813
1965,35.0817,129.0059
1966,35.0832,129.0068
1967,35.2652,129.1005
1968,35.1725,129.1183
2233,35.0995,129.0361
2234,35.0957,129.0223
2235,35.0975,129.0245
2238,35.1197,129.0413
2241,35.1379,129.0614
2242,35.1172,129.0423
2243,35.0865,129.0361
2246,35.1629,129.0627
2247,35.1584,129.0574
2251,35.2644,129.0174
2256,35.2243,129.2309
2261,35.3272,129.283
2538,35.1001,129.0361
2540,35.1007,129.0282
2549,35.1145,129.0385
2550,35.0917,129.0436
2551,35.0843,129.0399
2552,35.1629,129.0627
2553,35.1633,129.0309
2555,35.1559,129.0585
2558,35.143,129.0596
2560,35.1705,129.1394
2564,35.0825,129.0067
2565,35.2957,129.095
2566,35.2203,128.9325
2567,35.1953,129.0786
2569,35.2186,129.2274
2921,35.1006,129.0361
2922,35.1032,129.0351
2923,35.1033,129.0353
2935,35.0615,129.0763
2936,35.0635,129.0808
2937,35.063,129.081
2938,35.0624,129.081
2939,35.1601,129.056
2940,35.1555,129.0571
2943,35.1239,129.0887
2944,35.1128,129.0933
2949,35.1005,128.9956
2951,35.2439,129.0556
2952,35.2428,129.0556
2953,35.2513,129.0571
2954,35.2427,129.0556
2973,35.1507,128.9988
3299,35.1253,129.044
3318,35.1352,129.0576
3326,35.0956,129.046
3356,35.2063,128.9974
3364,35.1036,128.9624
3368,35.1915,129.0798
3737,35.0981,129.0337
3738,35.1122,129.0232
3745,35.1258,129.0442
3761,35.1204,129.0399
3765,35.0912,129.0431
4756,35.0902,129.0383
4757,35.0902,129.0383
4761,35.1609,129.0649
4770,35.1132,129.1129
4780,35.1807,128.9543
4789,35.1885,128.9878
5251,35.108,129.0377
5262,35.114,129.0367
5263,35.1133,129.0376
5285,35.2143,129.0358
5288,35.0842,129.007
5293,35.1738,129.1005
5298,35.156,128.979
5887,35.0955,128.9937
5912,35.173,128.9863
5913,35.1544,128.9975
6660,35.1035,129.0185
6667,35.103,129.0188
6681,35.13,129.0475
6707,35.0906,129.0345
6719,35.1555,129.0673
6724,35.1549,129.0569
6730,35.1622,129.04
6748,35.1263,129.0895
6750,35.1219,129.0981
6813,35.1609,128.988
