식당(ID),식당명,주차가능여부,반려동물입장가능여부,다국어메뉴판제공여부
1086,명지횟집,N,N,N
1091,용두산식당,N,N,N
1092,섹션,N,N,N
1240,흥화반점,Y,N,Y
1266,하동집,N,N,Y
1268,묘향정,N,N,N
1350,중화각,N,N,N
1351,밀양보신탕,N,N,N
1352,만춘반점,N,N,N
1353,덕화원,N,N,N
1354,동흥 중화요리,N,N,N
1355,몽마르지,N,N,N
1356,함응보쌈사계절냉면,Y,N,Y
1357,하늘소호프,N,N,N
1358,만다린,N,N,N
1359,해동반점,N,N,N
1363,삼화반점,N,N,N
1476,한전구내식당,Y,N,N
1477,원향재,N,N,N
1478,서울집,N,N,N
1480,함안돼지국밥,N,N,N
1616,신발원,N,N,Y
1617,진주식당,N,N,N
1618,토종돼지국밥,N,N,N
1619,어우량,N,N,N
1625,송정3대국밥,N,N,Y
1627,차이나면,N,N,N
1762,낙곱새 닭곱새 고래섬,N,N,N
1765,산청한방돼지국밥,N,N,N
1766,철마한우곰탕,N,N,N
1767,금원보,N,N,N
1769,후생식당,N,N,N
1776,롯데양곱창,N,N,Y
1781,청룡각,Y,N,N
1950,통영숯불바다장어,N,N,N
1951,송원감자탕,N,N,Y
1952,장성향,N,N,Y
1953,금오리,N,N,N
1956,백셰프,N,N,Y
1957,마산식당,Y,N,Y
1960,중국성,N,N,N
1965,동화정횟집,N,N,N
1966,만수각,N,N,N
1967,삼성웰스토리 동래베네스트,N,N,N
1968,대가호,N,N,N
2233,할매집,N,N,N
2234,24시 중화요리,N,N,Y
2235,충무장어구이,N,N,Y
2238,늘보고방,N,N,Y
2241,이담,N,N,N
2242,한양각,N,N,N
2243,부국식당,N,N,N
2246,울산대구탕,N,N,N
2247,서면대복집,N,N,N
2251,밀양가마솥추어탕,N,N,Y
2256,부흥반점,N,N,N
2261,촌장갈비,N,N,N
2538,경산집음식점,N,N,N
2540,울산집,N,N,N
2549,삼생원,N,N,Y
2550,이인순남일꼼장어,N,N,N
2551,삼촌의 주방,N,N,N
2552,오복식당,N,N,N
2553,백천민물바다장어,N,N,N
2555,서면포항돼지국밥,N,N,N
2558,초량갈비,N,N,N
2560,금강국밥,N,N,N
2564,삼천포생선구이식당,N,N,N
2565,부산컨트리구내식당,N,N,N
2566,진영식당,N,N,N
2567,언양진미식당,N,N,N
2569,선창가고동소리,N,N,Y
2921,돈구이,N,N,N
2922,40계단 달팽이식당,N,N,Y
2923,돼지식당,N,N,N
2935,자갈횟집,N,N,N
2936,영동기사식당,N,N,N
2937,감성조개,Y,N,Y
2938,전주식당,Y,N,Y
2939,삼미다찌야,N,N,N
2940,골목식당,Y,N,N
2943,진양식당,N,N,Y
2944,다리횟집,N,N,N
2949,내호냉면,N,N,N
2951,밀양집,N,N,N
2952,풍년집,N,N,N
2953,창녕두부집,N,N,N
2954,소나무집,N,N,N
2973,낙원각,N,N,N
3299,왕가,N,N,N
3318,장성반점,N,N,N
3326,황궁쟁반짜장,N,N,N
3356,동양반점,N,N,N
3364,복성반점,N,N,N
3368,용문각,Y,N,Y
3737,뷔페 051,N,N,N
3738,거창반점,N,N,N
3745,길림성,N,N,N
3761,왕만두,N,N,N
3765,남성관,N,N,N
4756,종점반점,N,N,N
4757,한일반점,N,N,N
4761,대명반점,N,N,N
4770,차이나반점,N,N,Y
4780,대동반점,N,N,Y
4789,밀양반점,N,N,N
5251,유원,N,N,N
5262,고려반점,N,N,Y
5263,장춘향,N,N,Y
5285,만덕반점 중국관,N,N,Y
5288,양자강,N,N,N
5293,백리향&밀면,N,N,N
5298,짬뽕일번가,N,N,N
5887,풍산면옥,N,N,Y
5912,유원반점,N,N,N
5913,옛날짜장,N,N,N
